BioSamples,Tissue,Chemotype,Cultivar,Treatment,Pubmed,BioProject,Instrument,Layout,Selection_method,SRA_sample,SRA_study,Study_title,Study_abstract,Date,Origin
SAMN42101041,Stem,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783828,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:53,NA
SAMN42101040,Stem,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783827,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:53,NA
SAMN42101039,Stem,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783830,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101038,Leaf,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783826,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101037,Leaf,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783824,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101036,Leaf,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783823,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101035,Trichome,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783822,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101034,Trichome,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783825,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN42101033,Trichome,Type III,MW6-15,NA,NA,PRJNA1128734,NextSeq 500,SINGLE,PolyA,SRS21783821,SRP516324,Characterisation of the Cannabis sativa glandular trichome epigenome,"Whole transcriptome sequencing of Cannabis sativa glandular trichomes, Vegetative Leaf, and Stem (internode) tissues using Single end RNA sequencing.",2024-07-09 08:14:54,NA
SAMN41256081,Leaf,Type III,Pink pepper,Drought stress with Trichoderma hamatum,NA,PRJNA1108719,Illumina NovaSeq 6000,PAIRED,cDNA,SRS21235024,SRP506213,Transcriptomic Responses of Cannabis sativa L. to Trichoderma hamatum Treated under Drought Conditions,"Cannabis sativa L., which has been reclassified as an agronomic crop, has experienced an increase in cultivation. Its interactions with a variety of environmental stressors have been extensively studied. However, the mechanisms of recovery through fungal associations remain underexplored. Trichoderma hamatum, known for its role as a biological agent, enhances plant growth and provides antagonistic defense against pathogenic microbes. This meta-dataset aims to investigate whether Th can enhance drought resistance in a Cannabis plants. Overall design: To investigate how Trichoderma hamatum treatment manifests drought resistance mediation activities at the transcriptome level in Cannabis sativa L., adult Cannabis plants were used. Drought treatment was achieved by halting irrigation, a stress method that hemp can experience in field cultivation. Trichoderma hamatum was isolated from the soil of the cannabis cultivation area using Trichoderma Selective Medium, and then separated into a single fungal strain through the hyphal tip separation process. The fungal strain's TEF1, ITS, and Large Subunit rRNA were sequenced, and identified using NCBI BLASTn. The experimental groups were designed under four different conditions: control, drought stress, T. hamatum single treatment, and a combination of drought stress and T. hamatum treatment.",2024-05-08 14:58:17,missing
