TF family,# Genes
bHLH,117
ERF,116
MYB,91
NAC,88
B3,86
MYB_related,83
C2H2,75
bZIP,61
WRKY,60
C3H,59
FAR1,49
GRAS,45
M-type_MADS,42
LBD,41
G2-like,35
Trihelix,34
HD-ZIP,33
Dof,29
MIKC_MADS,23
SBP,21
TCP,21
AP2,19
GATA,19
HSF,19
NF-YB,16
ARF,13
GeBP,13
YABBY,12
HB-other,11
WOX,11
ZF-HD,11
NF-YC,10
TALE,10
CO-like,9
GRF,9
ARR-B,8
BES1,8
CPP,8
E2F/DP,7
NF-YA,7
Nin-like,7
SRS,7
CAMTA,6
DBB,6
EIL,6
LSD,4
BBR-BPC,3
HB-PHD,3
RAV,3
VOZ,3
NF-X1,2
S1Fa-like,2
SAP,2
Whirly,2
HRT-like,1
LFY,1
NZZ/SPL,1
STAT,1
